MinTemp,Snowfall,YR,MO,DA,Rain
-5.555555556,10.16,45,2,22,6
-12.22222222,17.78,45,2,24,3
-7.777777778,22.86,45,3,2,1
0.555555556,12.7,45,3,3,0
1.666666667,25.4,45,3,11,1
-17.22222222,10.16,45,1,1,1
-20.55555556,10.16,45,1,2,0
-8.888888889,12.7,45,1,3,1
-7.222222222,10.16,45,1,4,2
-13.33333333,12.7,45,1,5,0
-4.444444444,2.54,45,1,7,9
-16.66666667,15.24,45,1,8,0
-15.55555556,15.24,45,1,9,1
-4.444444444,10.16,45,1,10,6
-3.333333333,5.08,45,1,11,1
-9.444444444,25.4,45,1,12,3
-14.44444444,25.4,45,1,13,0
-12.77777778,25.4,45,1,14,1
-12.77777778,2.54,45,2,5,0
-13.88888889,2.54,45,2,8,1
-14.44444444,5.08,45,2,9,6
-12.77777778,5.08,45,2,22,0
-3.333333333,17.78,45,3,3,1
2.777777778,10.16,45,3,4,0
-7.222222222,2.54,45,3,6,1
-6.666666667,7.62,45,3,7,2
0.555555556,17.78,45,3,8,0
-11.66666667,2.54,45,3,11,7
-6.111111111,2.54,45,3,15,1
-12.22222222,7.62,45,3,26,3
-5.555555556,2.54,45,4,4,5
-7.222222222,7.62,45,4,5,1
-8.333333333,5.08,45,4,7,8
-3.888888889,7.62,45,9,30,7
-6.111111111,2.54,45,10,3,3
-1.111111111,2.54,45,11,5,1
-3.888888889,5.08,45,11,7,1
-3.333333333,15.24,45,11,11,0
-19.44444444,15.24,45,11,16,5
-2.222222222,7.62,45,11,17,0
-9.444444444,5.08,45,11,18,1
-2.777777778,5.08,45,11,25,2
-11.11111111,20.32,45,11,27,2
-18.33333333,7.62,45,12,4,3
-8.888888889,17.78,45,12,5,5
-16.66666667,15.24,45,12,7,0
-10.55555556,17.78,45,12,8,20
-3.888888889,30.48,45,12,9,3
-3.333333333,20.32,45,12,10,2
-1.111111111,7.62,45,12,11,3
-1.111111111,5.08,45,12,12,1
-2.777777778,2.54,45,12,14,5
-3.888888889,2.54,45,12,19,3
-10.55555556,25.4,45,1,2,2
-4.444444444,30.48,45,1,3,7
-5.555555556,45.72,45,1,4,0
-6.111111111,45.72,45,1,5,5
-8.888888889,15.24,45,1,8,9
-9.444444444,15.24,45,1,9,4
-1.111111111,17.78,45,1,10,1
-3.888888889,12.7,45,1,11,5
-5.555555556,17.78,45,1,12,4
-6.666666667,17.78,45,1,13,0
-5.555555556,17.78,45,1,14,0
-3.333333333,17.78,45,1,22,1
-4.444444444,27.94,45,1,23,0
-4.444444444,27.94,45,1,24,5
-11.11111111,22.86,45,2,9,0
-12.22222222,22.86,45,2,20,3
-13.33333333,27.94,45,2,21,1
-11.11111111,27.94,45,2,22,2
-2.222222222,33.02,45,3,2,6
-2.222222222,33.02,45,3,3,2
-2.222222222,40.64,45,3,4,0
0.555555556,22.86,45,3,5,14
-7.222222222,22.86,45,3,6,5
-6.111111111,30.48,45,3,7,1
-0.555555556,45.72,45,3,8,3
-7.222222222,20.32,45,3,9,13
-10.55555556,20.32,45,3,11,7
-3.888888889,22.86,45,3,19,5
-11.11111111,22.86,45,3,27,8
-5.555555556,25.4,45,3,28,3
-5.555555556,30.48,45,4,3,1
-10.55555556,35.56,45,4,4,3
-10.55555556,38.1,45,4,6,5
-10.55555556,35.56,45,4,9,2
-5.555555556,33.02,45,4,19,2
-1.666666667,35.56,45,4,20,5
-2.777777778,40.64,45,4,21,3
-1.666666667,25.4,45,4,28,3
0.555555556,20.32,45,4,29,1
0.555555556,17.78,45,5,1,17
-0.555555556,12.7,45,5,2,2
-1.111111111,10.16,45,5,7,1
1.111111111,7.62,45,5,8,6
1.111111111,5.08,45,5,9,3
1.111111111,5.08,45,5,10,1
-4.444444444,2.54,45,5,15,0
-0.555555556,2.54,45,9,30,4
-0.555555556,5.08,45,10,17,15
-1.111111111,2.54,45,10,24,10
-1.666666667,2.54,45,11,2,2
-2.222222222,5.08,45,11,7,0
-1.666666667,5.08,45,11,11,0
-1.666666667,2.54,45,11,17,0
-2.777777778,5.08,45,11,18,0
-0.555555556,12.7,45,11,25,5
-2.222222222,7.62,45,11,26,4
-7.222222222,17.78,45,11,27,7
-7.777777778,15.24,45,12,2,0
-10.55555556,12.7,45,12,4,2
-3.333333333,27.94,45,12,5,0
-7.222222222,30.48,45,12,7,1
-5.555555556,33.02,45,12,8,1
-0.555555556,81.28,45,12,9,10
0.555555556,50.8,45,12,10,5
-0.555555556,27.94,45,12,11,5
-3.333333333,10.16,45,12,18,3
-3.888888889,60.96,45,12,19,0
-15.55555556,2.54,45,3,9,0
-18.88888889,7.62,45,3,11,0
-26.11111111,7.62,45,3,12,4
-20.55555556,5.08,45,3,31,0
-21.66666667,10.16,45,4,4,0
-22.77777778,10.16,45,4,5,0
-7.777777778,10.16,45,4,26,2
-7.777777778,5.08,45,9,30,0
-4.444444444,5.08,45,10,1,2
-11.66666667,2.54,45,10,31,5
-18.33333333,5.08,45,11,9,1
-12.77777778,7.62,45,11,11,0
-24.44444444,7.62,45,12,10,11
-2.777777778,2.54,45,1,1,4
-5.555555556,5.08,45,1,10,3
-13.33333333,2.54,45,1,11,6
-7.222222222,2.54,45,1,13,0
-13.88888889,7.62,45,1,14,2
-8.888888889,2.54,45,1,19,4
-6.666666667,10.16,45,2,9,2
-9.444444444,2.54,45,2,28,0
-9.444444444,7.62,45,3,1,15
-4.444444444,2.54,45,1,13,3
-2.222222222,10.16,45,1,14,0
-7.222222222,10.16,45,3,1,1
-0.555555556,5.08,45,1,5,2
-5.555555556,2.54,45,1,8,1
-3.888888889,2.54,45,1,9,6
-4.444444444,7.62,45,1,23,1
-0.555555556,2.54,45,1,22,2
-2.777777778,7.62,45,1,23,1
-7.777777778,7.62,45,12,1,3
-7.222222222,15.24,45,12,2,1
-0.555555556,2.54,45,12,3,20
-5.555555556,5.08,45,12,27,4
-6.666666667,7.62,45,11,28,54
-10.55555556,22.86,44,1,29,7
-13.33333333,30.48,44,2,2,7
-0.555555556,30.48,44,2,5,7
1.666666667,2.54,44,3,4,2
-6.666666667,2.54,44,4,2,0
-5.555555556,5.08,44,1,2,1
-5.555555556,5.08,44,1,6,0
-11.66666667,7.62,44,1,8,19
-2.222222222,2.54,44,1,11,8
-7.777777778,5.08,44,1,23,4
-3.888888889,7.62,44,1,27,2
-5.555555556,20.32,44,1,29,3
-7.222222222,15.24,44,1,30,1
2.222222222,7.62,44,1,31,14
0.555555556,2.54,44,2,1,4
-6.666666667,5.08,44,3,18,7
0.555555556,5.08,44,3,20,1
-4.444444444,5.08,44,11,4,7
-5.555555556,2.54,44,11,27,0
-3.888888889,2.54,44,11,30,6
-7.222222222,5.08,44,12,1,3
-7.222222222,5.08,44,12,2,0
-7.222222222,5.08,44,12,3,1
-4.444444444,7.62,44,12,4,0
-4.444444444,7.62,44,12,6,3
-0.555555556,2.54,44,12,12,4
-8.333333333,2.54,44,1,4,13
-11.11111111,7.62,44,1,6,3
-12.22222222,10.16,44,1,7,0
-13.33333333,7.62,44,1,10,2
-3.888888889,12.7,44,1,11,1
2.222222222,7.62,44,1,12,1
-2.777777778,5.08,44,1,13,2
1.666666667,2.54,44,1,14,0
-4.444444444,5.08,44,1,20,1
-12.22222222,5.08,44,1,23,4
-4.444444444,10.16,44,1,27,0
-8.333333333,12.7,44,1,29,8
-8.333333333,10.16,44,1,30,5
1.666666667,7.62,44,1,31,1
-1.666666667,5.08,44,2,5,4
-1.666666667,2.54,44,2,7,4
-0.555555556,2.54,44,2,8,0
-3.333333333,2.54,44,2,13,1
-2.777777778,2.54,44,2,14,1
-2.777777778,5.08,44,2,16,0
-2.222222222,2.54,44,2,27,1
-3.888888889,2.54,44,3,17,0
-6.666666667,7.62,44,3,18,1
-7.222222222,10.16,44,3,19,0
-0.555555556,7.62,44,3,20,2
-0.555555556,2.54,44,4,15,2
-11.11111111,12.7,44,1,4,16
-8.333333333,7.62,44,1,11,5
-10.55555556,12.7,44,1,12,7
-17.77777778,17.78,44,1,14,0
-12.22222222,17.78,44,1,16,1
-16.11111111,22.86,44,1,21,4
-17.77777778,25.4,44,1,23,1
-12.22222222,25.4,44,1,24,17
-15.55555556,27.94,44,1,25,1
-14.44444444,25.4,44,1,27,3
-4.444444444,7.62,44,2,4,13
-7.222222222,7.62,44,2,5,1
-12.77777778,15.24,44,2,6,2
-12.22222222,15.24,44,2,7,5
-0.555555556,22.86,44,2,9,3
-12.77777778,7.62,44,2,10,1
-17.77777778,7.62,44,2,15,2
-16.66666667,10.16,44,2,17,8
-17.77777778,10.16,44,2,18,3
-8.333333333,15.24,44,2,19,16
-3.333333333,12.7,44,2,20,0
-3.888888889,27.94,44,2,21,2
-4.444444444,17.78,44,2,28,0
-1.666666667,10.16,44,3,10,2
-12.22222222,10.16,44,3,14,5
-7.222222222,10.16,44,3,20,13
-3.888888889,20.32,44,4,3,11
-4.444444444,7.62,44,4,28,7
-3.333333333,2.54,44,4,29,0
-2.222222222,5.08,44,4,30,4
-3.333333333,5.08,44,5,4,0
-11.11111111,15.24,44,5,5,0
-2.777777778,7.62,44,5,9,0
-3.888888889,10.16,44,5,12,0
-1.666666667,7.62,44,5,14,1
-6.666666667,2.54,44,10,23,3
-7.222222222,5.08,44,10,24,1
-12.22222222,7.62,44,10,26,0
-3.333333333,20.32,44,10,27,18
-1.111111111,10.16,44,10,28,1
-13.33333333,5.08,44,11,29,0
-10.55555556,5.08,44,12,20,9
-9.444444444,5.08,44,12,21,8
-12.22222222,7.62,44,12,22,9
-22.22222222,5.08,44,12,27,2
-14.44444444,5.08,44,12,28,6
-11.11111111,27.94,44,1,3,0
-7.222222222,35.56,44,1,4,0
-6.111111111,25.4,44,1,10,0
-9.444444444,27.94,44,1,11,3
-9.444444444,30.48,44,1,12,0
-12.22222222,30.48,44,1,15,2
-6.666666667,30.48,44,1,16,1
-16.66666667,50.8,44,1,20,13
-9.444444444,58.42,44,1,23,21
-3.333333333,60.96,44,2,4,0
-3.333333333,63.5,44,2,5,1
-6.666666667,66.04,44,2,6,3
-6.666666667,66.04,44,2,7,4
0.555555556,63.5,44,2,9,2
-9.444444444,48.26,44,2,10,0
-10.55555556,48.26,44,2,11,7
-14.44444444,50.8,44,2,15,6
-13.88888889,53.34,44,2,17,0
-14.44444444,53.34,44,2,18,11
-7.777777778,55.88,44,2,19,16
-2.777777778,60.96,44,2,20,0
-4.444444444,76.2,44,2,21,5
-3.333333333,76.2,44,2,22,0
-5.555555556,76.2,44,2,23,12
-2.222222222,60.96,44,2,28,6
-1.111111111,63.5,44,3,2,2
-0.555555556,30.48,44,3,5,8
-2.777777778,35.56,44,3,9,0
-1.666666667,38.1,44,3,10,9
-7.777777778,35.56,44,3,13,23
-7.222222222,30.48,44,3,18,11
-1.666666667,35.56,44,3,19,10
-5.555555556,43.18,44,3,20,1
-6.111111111,45.72,44,3,21,8
2.222222222,17.78,44,3,30,2
-1.666666667,7.62,44,4,2,3
-4.444444444,20.32,44,4,3,7
-1.666666667,25.4,44,4,7,14
-4.444444444,7.62,44,4,27,5
-3.333333333,35.56,44,4,29,4
-1.666666667,30.48,44,5,1,19
-5.555555556,40.64,44,5,2,1
-4.444444444,43.18,44,5,4,1
-2.777777778,50.8,44,5,9,0
-5.555555556,55.88,44,5,10,0
-3.333333333,50.8,44,5,12,3
-2.222222222,53.34,44,5,14,3
0.555555556,25.4,44,5,21,24
-3.333333333,10.16,44,5,27,0
1.666666667,12.7,44,5,29,1
6.666666667,10.16,44,5,30,0
1.111111111,7.62,44,6,1,1
0.555555556,5.08,44,6,9,2
-0.555555556,2.54,44,6,14,0
0.555555556,2.54,44,6,15,0
1.111111111,2.54,44,6,16,1
-0.555555556,10.16,44,10,20,1
-7.222222222,10.16,44,10,26,0
-1.111111111,5.08,44,10,29,2
0.555555556,5.08,44,10,30,1
-8.888888889,7.62,44,11,29,1
-7.777777778,2.54,44,12,8,7
-3.888888889,7.62,44,12,9,20
-5.555555556,10.16,44,12,17,1
-4.444444444,10.16,44,12,19,2
-5.555555556,10.16,44,12,20,2
-5.555555556,12.7,44,12,21,3
-8.888888889,12.7,44,12,22,4
-10.55555556,12.7,44,12,27,5
-2.222222222,22.86,44,12,30,5
-6.666666667,30.48,44,12,31,13
-18.88888889,7.62,44,1,4,4
-21.11111111,12.7,44,1,7,5
-28.88888889,12.7,44,1,9,6
-33.88888889,15.24,44,1,11,4
-29.44444444,15.24,44,1,12,1
-23.88888889,15.24,44,1,13,0
-12.22222222,12.7,44,2,10,0
-6.111111111,10.16,44,2,20,2
-12.22222222,10.16,44,2,22,0
-9.444444444,10.16,44,2,25,12
-27.22222222,5.08,44,3,1,7
-18.88888889,2.54,44,3,13,8
-13.88888889,5.08,44,3,31,10
-12.22222222,5.08,44,4,24,5
-6.666666667,2.54,44,9,16,0
-3.333333333,2.54,44,9,17,4
-5.555555556,2.54,44,9,21,4
-5.555555556,2.54,44,10,5,2
-12.22222222,5.08,44,10,23,0
-9.444444444,2.54,44,10,30,6
-13.33333333,5.08,44,11,6,28
-18.88888889,5.08,44,11,10,0
-12.22222222,15.24,44,11,11,3
-13.33333333,17.78,44,11,12,0
-16.11111111,17.78,44,11,16,0
-6.111111111,22.86,44,11,17,0
-7.777777778,20.32,44,11,21,7
-17.77777778,22.86,44,11,22,0
-23.33333333,20.32,44,11,23,0
-12.77777778,22.86,44,11,25,8
-25.55555556,20.32,44,11,30,13
-23.88888889,20.32,44,12,4,13
-18.88888889,22.86,44,12,5,8
-19.44444444,22.86,44,12,9,9
-15.55555556,25.4,44,12,10,0
-27.77777778,20.32,44,12,28,0
-2.222222222,10.16,44,2,12,0
-1.111111111,7.62,44,2,14,15
-1.666666667,15.24,44,2,16,0
-2.222222222,10.16,44,2,12,11
-0.555555556,7.62,44,2,16,20
-3.888888889,5.08,43,12,20,10
-6.111111111,2.54,43,12,23,2
-10.55555556,10.16,43,1,1,2
-11.66666667,7.62,43,1,4,2
-2.222222222,5.08,43,2,3,5
-6.111111111,7.62,43,2,7,2
-6.666666667,7.62,43,2,9,10
-2.777777778,7.62,43,2,10,45
-2.777777778,7.62,43,2,11,53
-12.22222222,7.62,43,2,12,9
-9.444444444,7.62,43,2,16,1
-2.777777778,2.54,43,2,18,0
-2.777777778,2.54,43,2,19,2
-2.777777778,5.08,43,2,20,12
-1.111111111,5.08,43,2,21,4
-1.111111111,5.08,43,2,22,7
-2.222222222,2.54,43,2,23,0
-6.111111111,5.08,43,2,25,1
-2.222222222,5.08,43,2,27,2
-4.444444444,5.08,43,2,28,4
-0.555555556,2.54,43,3,7,0
-7.777777778,5.08,43,3,12,2
-9.444444444,5.08,43,3,13,0
-3.888888889,5.08,43,3,16,0
-1.111111111,2.54,43,3,17,6
-1.111111111,5.08,43,3,18,0
-6.111111111,2.54,43,3,31,5
-1.666666667,2.54,43,4,14,3
-3.888888889,12.7,43,4,21,7
-7.222222222,5.08,43,11,28,1
1.666666667,2.54,43,11,30,3
-3.888888889,2.54,43,12,18,14
-1.666666667,5.08,43,12,25,1
-2.222222222,7.62,43,12,26,0
1.111111111,10.16,43,12,27,0
-2.777777778,5.08,43,12,28,3
-2.777777778,5.08,43,12,29,2
-5.555555556,5.08,43,12,30,12
-12.22222222,5.08,43,2,8,10
-15.55555556,2.54,43,2,12,3
-5.555555556,12.7,43,2,13,1
-13.88888889,7.62,43,2,15,1
-7.222222222,7.62,43,2,16,0
-8.888888889,7.62,43,2,17,3
-13.33333333,12.7,43,2,18,2
-7.222222222,20.32,43,2,20,8
-13.33333333,20.32,43,2,21,3
-12.22222222,20.32,43,2,24,0
-14.44444444,22.86,43,2,25,4
-4.444444444,5.08,43,3,1,2
-2.777777778,33.02,43,3,2,0
-7.222222222,43.18,43,3,3,1
-12.22222222,43.18,43,3,4,0
-5.555555556,20.32,43,3,5,1
-17.22222222,25.4,43,3,8,16
-17.22222222,17.78,43,3,9,3
-9.444444444,7.62,43,3,29,0
-11.66666667,7.62,43,4,12,5
-1.666666667,10.16,43,4,16,1
-6.111111111,15.24,43,4,17,7
-3.333333333,2.54,43,4,29,4
-2.222222222,2.54,43,5,3,10
-3.333333333,5.08,43,5,5,0
-1.666666667,5.08,43,5,15,0
-0.555555556,2.54,43,10,6,0
-0.555555556,10.16,43,10,7,0
-3.333333333,7.62,43,10,16,0
-6.111111111,5.08,43,11,2,2
-3.888888889,10.16,43,11,11,0
-14.44444444,10.16,43,11,13,3
-3.333333333,7.62,43,11,21,0
-13.88888889,15.24,43,11,23,0
-12.22222222,12.7,43,11,24,0
-3.888888889,17.78,43,11,25,1
-8.333333333,22.86,43,11,26,1
-3.888888889,20.32,43,11,29,4
-6.666666667,20.32,43,11,30,2
-14.44444444,22.86,43,12,2,25
-3.333333333,2.54,43,12,8,3
-12.22222222,7.62,43,12,9,1
-3.333333333,5.08,43,12,14,4
-4.444444444,5.08,43,12,15,1
-8.333333333,2.54,43,12,22,0
-11.11111111,5.08,43,12,23,0
-13.88888889,7.62,43,12,25,1
-16.66666667,7.62,43,12,26,0
-11.11111111,10.16,43,12,27,3
-15.55555556,17.78,43,12,28,7
-3.333333333,5.08,43,12,30,2
-9.444444444,25.4,43,12,31,4
-3.888888889,5.08,43,2,5,12
-3.333333333,5.08,43,2,6,0
-6.111111111,7.62,43,2,7,1
-10.55555556,7.62,43,2,12,0
-4.444444444,7.62,43,2,13,1
-9.444444444,10.16,43,2,15,9
-6.111111111,12.7,43,2,16,1
-8.333333333,12.7,43,2,17,0
-8.888888889,15.24,43,2,18,0
-7.777777778,17.78,43,2,19,0
-6.111111111,17.78,43,2,20,6
-9.444444444,22.86,43,2,21,2
-7.222222222,38.1,43,2,24,0
-10.55555556,45.72,43,2,25,0
-12.77777778,58.42,43,2,27,1
-7.777777778,66.04,43,2,28,0
-3.333333333,76.2,43,3,1,2
-2.777777778,81.28,43,3,2,5
-6.666666667,81.28,43,3,3,1
-8.888888889,73.66,43,3,4,8
-7.222222222,63.5,43,3,5,5
-8.888888889,58.42,43,3,6,2
-14.44444444,53.34,43,3,7,15
-3.333333333,45.72,43,3,20,27
-2.777777778,25.4,43,3,26,26
-3.888888889,25.4,43,3,27,0
-3.333333333,45.72,43,3,28,0
-1.111111111,43.18,43,4,2,0
-8.333333333,50.8,43,4,5,1
-1.111111111,66.04,43,4,6,7
-2.222222222,50.8,43,4,10,3
-7.777777778,53.34,43,4,11,2
-4.444444444,48.26,43,4,15,2
-2.222222222,50.8,43,4,16,1
-3.888888889,50.8,43,4,17,3
-2.222222222,48.26,43,4,26,7
-1.666666667,30.48,43,4,28,3
-5.555555556,22.86,43,5,2,4
-2.777777778,27.94,43,5,3,0
-4.444444444,27.94,43,5,4,1
-2.777777778,27.94,43,5,5,10
-3.888888889,30.48,43,5,6,9
-1.666666667,27.94,43,5,14,5
-2.222222222,27.94,43,5,15,6
-1.666666667,27.94,43,5,16,0
2.222222222,7.62,43,5,21,0
-0.555555556,5.08,43,10,2,2
-2.777777778,2.54,43,10,5,1
1.111111111,2.54,43,10,6,1
-0.555555556,2.54,43,10,7,4
-3.333333333,5.08,43,10,12,10
-2.777777778,5.08,43,10,16,2
-1.666666667,2.54,43,10,22,1
-7.222222222,7.62,43,11,10,24
-2.222222222,10.16,43,11,11,2
1.666666667,5.08,43,11,14,2
2.222222222,2.54,43,11,15,0
-0.555555556,2.54,43,11,18,2
-3.888888889,2.54,43,11,21,8
-3.888888889,10.16,43,11,22,1
-6.111111111,12.7,43,11,24,14
-1.666666667,20.32,43,11,25,14
-5.555555556,25.4,43,11,26,7
-6.111111111,33.02,43,11,29,6
-6.666666667,27.94,43,12,2,5
-2.222222222,12.7,43,12,3,51
-2.222222222,7.62,43,12,7,3
-2.777777778,17.78,43,12,8,0
-7.777777778,17.78,43,12,9,0
-5.555555556,22.86,43,12,23,2
-6.111111111,27.94,43,12,24,2
-8.333333333,33.02,43,12,26,0
-8.333333333,45.72,43,12,27,0
-3.333333333,25.4,43,12,30,2
-5.555555556,27.94,43,12,31,0
-13.88888889,2.54,43,1,29,0
-21.11111111,5.08,43,2,5,0
-17.77777778,5.08,43,3,2,0
-24.44444444,7.62,43,3,5,0
-25.55555556,10.16,43,3,6,1
-13.33333333,7.62,43,3,23,2
-22.77777778,7.62,43,4,3,2
-13.33333333,2.54,43,4,18,2
-3.333333333,2.54,43,9,22,10
-6.111111111,7.62,43,10,7,0
-8.333333333,10.16,43,10,13,5
-10.55555556,12.7,43,10,16,0
-8.888888889,10.16,43,10,21,1
-11.11111111,12.7,43,10,22,2
-6.666666667,17.78,43,10,25,0
-9.444444444,20.32,43,10,26,1
-12.77777778,17.78,43,11,7,2
-13.88888889,17.78,43,11,8,0
-22.77777778,20.32,43,11,9,0
-22.77777778,15.24,43,11,10,4
-21.11111111,17.78,43,11,13,0
-11.66666667,7.62,43,11,20,2
-8.333333333,12.7,43,12,3,0
-11.66666667,22.86,43,12,4,0
-17.77777778,10.16,43,12,7,0
-16.66666667,15.24,43,12,8,0
-19.44444444,12.7,43,12,9,3
-8.333333333,12.7,43,12,15,1
-11.66666667,15.24,43,12,16,1
-12.22222222,15.24,43,12,24,0
-10.55555556,5.08,42,11,30,3
-5.555555556,5.08,42,12,27,0
-7.777777778,2.54,42,12,29,1
-12.22222222,2.54,42,1,1,0
-10.55555556,5.08,42,1,4,0
-3.888888889,7.62,42,1,5,0
-3.333333333,12.7,42,1,6,1
-1.111111111,10.16,42,1,7,1
-8.333333333,17.78,42,1,9,3
-9.444444444,5.08,42,1,10,0
-12.22222222,2.54,42,1,23,0
-4.444444444,2.54,42,1,29,2
-13.33333333,12.7,42,1,30,0
2.777777778,2.54,42,2,3,1
-0.555555556,2.54,42,2,24,0
-6.111111111,5.08,42,2,25,0
-6.111111111,5.08,42,3,2,0
-8.333333333,5.08,42,3,3,1
-4.444444444,2.54,42,3,15,1
-5.555555556,5.08,42,3,29,0
-7.777777778,5.08,42,3,30,1
-12.22222222,5.08,42,4,1,1
-5.555555556,2.54,42,4,19,0
-5.555555556,2.54,42,4,23,2
-4.444444444,5.08,42,4,24,0
-4.444444444,2.54,42,10,12,1
-3.333333333,5.08,42,10,14,0
-2.777777778,5.08,42,10,15,0
-5.555555556,2.54,42,10,27,0
0.555555556,7.62,42,11,3,0
-3.888888889,7.62,42,11,12,0
-0.555555556,7.62,42,11,13,1
-5.555555556,12.7,42,11,14,1
-4.444444444,2.54,42,11,24,0
-3.333333333,10.16,42,11,25,1
-6.111111111,2.54,42,12,3,0
-10.55555556,2.54,42,12,12,0
-2.777777778,5.08,42,12,19,1
-3.333333333,7.62,42,12,20,4
-10.55555556,7.62,42,12,21,0
-1.666666667,2.54,42,10,5,11
-1.111111111,7.62,42,10,6,0
-1.666666667,2.54,42,10,8,0
-1.111111111,15.24,42,10,15,0
-0.555555556,10.16,42,10,26,1
-2.222222222,10.16,42,10,28,0
-1.111111111,10.16,42,10,29,0
-5.555555556,10.16,42,11,2,1
-4.444444444,2.54,42,11,7,0
-8.888888889,2.54,42,11,11,4
-1.111111111,17.78,42,11,13,0
-3.888888889,17.78,42,11,15,1
5.555555556,15.24,42,11,16,0
-1.666666667,2.54,42,11,19,0
-1.111111111,2.54,42,11,20,0
-2.777777778,2.54,42,11,24,3
-0.555555556,2.54,42,12,7,0
-3.888888889,5.08,42,12,20,1
-7.222222222,5.08,42,12,29,6
-6.666666667,5.08,42,12,31,1
-29.44444444,7.62,42,1,20,2
-12.22222222,5.08,42,2,5,1
-22.77777778,5.08,42,2,6,0
-13.33333333,5.08,42,2,10,1
-23.33333333,5.08,42,2,11,2
-34.44444444,5.08,42,2,15,11
-22.22222222,7.62,42,2,17,4
-23.88888889,7.62,42,2,27,17
-23.88888889,10.16,42,3,22,9
-18.33333333,12.7,42,3,31,9
-12.77777778,7.62,42,4,10,11
-13.88888889,7.62,42,4,11,4
-8.333333333,5.08,42,10,10,2
-6.666666667,7.62,42,11,5,3
-9.444444444,12.7,42,11,7,2
-13.88888889,12.7,42,11,8,0
-8.333333333,5.08,42,11,16,5
-8.333333333,10.16,42,11,17,1
-19.44444444,2.54,42,12,17,1
-12.22222222,5.08,42,12,22,1
-16.66666667,7.62,42,12,23,6
-16.66666667,7.62,42,12,24,4
-21.11111111,7.62,42,12,31,0
-2.222222222,2.54,41,12,5,0
-4.444444444,5.08,41,12,6,0
-7.222222222,5.08,41,12,6,1
0.555555556,10.16,41,12,7,13
-12.77777778,15.24,41,12,8,5
-14.44444444,15.24,41,12,12,0
-8.333333333,10.16,41,12,16,1
-2.777777778,10.16,41,12,17,2
-12.22222222,2.54,41,12,17,2
-12.22222222,2.54,41,12,28,0
